chr	-	chr1	1	0	158337067	chr1
chr	-	chr2	2	0	137060424	chr2
chr	-	chr3	3	0	121430405	chr3
chr	-	chr4	4	0	120829699	chr4
chr	-	chr5	5	0	121191424	chr5
chr	-	chr6	6	0	119458736	chr6
chr	-	chr7	7	0	112638659	chr7
chr	-	chr8	8	0	113384836	chr8
chr	-	chr9	9	0	105708250	chr9
chr	-	chr10	10	0	104305016	chr10
chr	-	chr11	11	0	107310763	chr11
chr	-	chr12	12	0	91163125	chr12
chr	-	chr13	13	0	84240350	chr13
chr	-	chr14	14	0	84648390	chr14
chr	-	chr15	15	0	85296676	chr15
chr	-	chr16	16	0	81724687	chr16
chr	-	chr17	17	0	75158596	chr17
chr	-	chr18	18	0	66004023	chr18
chr	-	chr19	19	0	64057457	chr19
chr	-	chr20	20	0	72042655	chr20
chr	-	chr21	21	0	71599096	chr21
chr	-	chr22	22	0	61435874	chr22
chr	-	chr23	23	0	52530062	chr23
chr	-	chr24	24	0	62714930	chr24
chr	-	chr25	25	0	42904170	chr1
chr	-	chr26	26	0	51681464	chr2
chr	-	chr27	27	0	45407902	chr3
chr	-	chr28	28	0	46312546	chr4
chr	-	chr29	29	0	51505224	chr5
chr	-	chrX	X	0	148823899	chrX
band	chr1	cen	cen	0	1	acen
band	chr1	q11	q11	2	11905236	gneg
band	chr1	q12.1	q12.1	11905237	15476807	gpos100
band	chr1	q12.2	q12.2	15476808	22024687	gneg
band	chr1	q13	q13	22024688	31250386	gpos100
band	chr1	q14	q14	31250387	34524326	gneg
band	chr1	q21	q21	34524327	48810610	gpos100
band	chr1	q22	q22	48810611	56549013	gneg
band	chr1	q23	q23	56549014	61311108	gpos100
band	chr1	q24	q24	61311109	63692155	gneg
band	chr1	q25	q25	63692156	69644774	gpos100
band	chr1	q31	q31	69644775	80358627	gneg
band	chr1	q32	q32	80358628	83930198	gpos100
band	chr1	q33	q33	83930199	93752018	gneg
band	chr1	q34	q34	93752019	101192791	gpos100
band	chr1	q35	q35	101192792	104169100	gneg
band	chr1	q36	q36	104169101	110716980	gpos100
band	chr1	q41	q41	110716981	122324586	gneg
band	chr1	q42	q42	122324587	129466868	gpos100
band	chr1	q43	q43	129466869	133931331	gneg
band	chr1	q44	q44	133931332	141967366	gpos100
band	chr1	q45	q45	141967367	158337067	gneg
band	chr10	cen	cen	0	1	acen
band	chr10	q11	q11	2	12271386	gneg
band	chr10	q12	q12	12271387	19020649	gpos100
band	chr10	q13	q13	19020650	25156343	gneg
band	chr10	q14	q14	25156344	30370796	gpos100
band	chr10	q15	q15	30370797	38040412	gneg
band	chr10	q21	q21	38040413	45096460	gpos100
band	chr10	q22	q22	45096461	47243953	gneg
band	chr10	q23	q23	47243954	53379646	gpos100
band	chr10	q24	q24	53379647	61356048	gneg
band	chr10	q25	q25	61356049	66878172	gpos100
band	chr10	q26	q26	66878173	67798526	gneg
band	chr10	q31	q31	67798527	73934219	gpos100
band	chr10	q32	q32	73934220	79762242	gneg
band	chr10	q33	q33	79762243	83443658	gpos100
band	chr10	q34	q34	83443659	94181121	gneg
band	chr10	q35	q35	94181122	102771092	gpos100
band	chr10	q36	q36	102771093	104305016	gneg
band	chr11	cen	cen	0	1	acen
band	chr11	q11	q11	2	12299431	gpos100
band	chr11	q12	q12	12299432	17834175	gneg
band	chr11	q13	q13	17834176	20294062	gpos100
band	chr11	q14	q14	20294063	25213834	gneg
band	chr11	q15	q15	25213835	36897405	gpos100
band	chr11	q16	q16	36897406	43662093	gneg
band	chr11	q21	q21	43662094	55654039	gpos100
band	chr11	q22	q22	55654040	64571127	gneg
band	chr11	q23	q23	64571128	76870558	gpos100
band	chr11	q24	q24	76870559	86401729	gneg
band	chr11	q25	q25	86401730	92858930	gpos100
band	chr11	q26	q26	92858931	96856246	gneg
band	chr11	q27	q27	96856247	99008646	gpos100
band	chr11	q28	q28	99008647	107310763	gneg
band	chr12	cen	cen	0	1	acen
band	chr12	q11	q11	2	11431319	gneg
band	chr12	q12	q12	11431320	20004809	gpos100
band	chr12	q13	q13	20004810	32006870	gneg
band	chr12	q14	q14	32006871	37150964	gpos100
band	chr12	q15	q15	37150965	50296981	gneg
band	chr12	q21	q21	50296982	62585650	gpos100
band	chr12	q22	q22	62585651	68301310	gneg
band	chr12	q23	q23	68301311	77817224	gpos100
band	chr12	q24	q24	77817225	82875418	gneg
band	chr12	q25	q25	82875419	85733248	gpos100
band	chr12	q26	q26	85733249	91163125	gneg
band	chr13	cen	cen	0	1	acen
band	chr13	q11	q11	2	10869925	gneg
band	chr13	q12	q12	10869926	21739850	gpos100
band	chr13	q13	q13	21739851	30435005	gneg
band	chr13	q14	q14	30435006	40489686	gpos100
band	chr13	q15	q15	40489687	51359611	gneg
band	chr13	q21	q21	51359612	57066322	gpos100
band	chr13	q22	q22	57066323	69294988	gneg
band	chr13	q23	q23	69294989	74457417	gpos100
band	chr13	q24	q24	74457418	84240350	gneg
band	chr14	cen	cen	0	1	acen
